Neighbourhood,Neighbourhood Id,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients
Kennedy Park,124,261,82,729,293600,1824,2583
Ionview,125,148,45,712,330109,1003,1675
Dorset Park,126,969,52,727,279189,12722,2803
Bendale,127,853,200,738,329355,17680,2729
Agincourt South-Malvern West,128,1378,135,756,332710,18329,1542
Agincourt North,129,353,130,765,375307,7449,1930
Milliken,130,2090,220,770,387879,16901,1921
Rouge,131,877,210,738,426850,14207,2994
Malvern,132,625,81,724,256488,11173,5078
Centennial Scarborough,133,126,80,774,491024,951,399
Highland Creek,134,91,110,751,529278,1798,724
Morningside,135,108,28,711,289646,3566,2534
West Hill,136,424,153,706,308229,4500,4974
Woburn,137,1073,214,723,316584,16190,6747
Eglinton East,138,296,143,705,274020,2351,4171
Scarborough Village,139,228,217,699,356096,1851,4133
Guildwood,140,67,171,774,444309,924,309
