Neighbourhood,Neighbourhood Id,Access to Child Care,Business Licensing,Businesses,Child Care Spaces,Inequality (Gini coeff.),Local Employment,Social Assistance Recipients
Rosedale-Moore Park,98,0.16,122,674,144,0.298009,16637,255
Mount Pleasant East,99,0.307692,118,470,66,0.352039,5974,263
Yonge-Eglinton,100,0.28,256,645,45,0.35052,11435,156
Forest Hill South,101,0.14,45,169,30,0.333299,2361,162
Forest Hill North,102,0.316129,78,154,105,0.401069,924,663
Lawrence Park South,103,0.333333,103,162,140,0.25738,1555,140
Mount Pleasant West,104,0.24186,200,1104,222,0.395469,13194,1041
Lawrence Park North,105,0.266667,107,374,195,0.292459,3435,134
Humewood-Cedarvale,106,0.245161,68,137,114,0.41525,1254,690
Oakwood Village,107,0.324675,115,252,180,0.409909,1721,2501
Briar Hill-Belgravia,108,0.434146,252,467,25,0.406879,3266,1495
Caledonia-Fairbank,109,0.263158,82,96,45,0.37612,1101,1216
Keelesdale-Eglinton West,110,0.290909,181,275,25,0.39449,1512,1221
Rockcliffe-Smythe,111,0.33271,166,285,121,0.416779,3126,3166
Beechborough-Greenbrook,112,0.321739,37,142,22,0.41319,2470,1383
Weston,113,0.26625,274,505,147,0.44163,4463,3817
Lambton Baby Point,114,0.184211,54,64,15,0.394639,391,796
Mount Dennis,115,0.406186,89,172,85,0.39309,2141,2897
Steeles,116,0.330435,160,257,90,0.37505,5870,1007
L'Amoreaux,117,0.283077,257,479,75,0.39925,4766,3558
Tam O'Shanter-Sullivan,118,0.316667,199,343,175,0.394939,3761,1812
Wexford/Maryvale,119,0.272,348,961,110,0.376069,17014,2993
Clairlea-Birchmount,120,0.232479,444,817,84,0.390859,14859,2392
Oakridge,121,0.2,138,192,54,0.45544,1549,3015
Birchcliffe-Cliffside,122,0.276596,197,350,101,0.39302,3155,1640
Cliffcrest,123,0.404651,105,214,55,0.388799,2182,1140
Kennedy Park,124,0.266667,178,259,75,0.416729,1614,2528
Ionview,125,0.279452,60,148,42,0.386249,1072,1673
Dorset Park,126,0.222989,308,922,47,0.37913,13999,2300
Bendale,127,0.24918,253,825,150,0.380939,17290,2235
Agincourt South-Malvern West,128,0.29011,428,1399,120,0.380019,17886,1277
Agincourt North,129,0.271154,188,295,115,0.36607,7542,1563
Milliken,130,0.283517,408,1871,179,0.372999,16704,1348
Rouge,131,0.396694,159,832,192,0.322259,13923,2528
Malvern,132,0.314943,141,665,85,0.35291,12435,5275
Centennial Scarborough,133,0.507692,141,125,60,0.27061,953,360
Highland Creek,134,0.466667,39,91,82,0.29275,1608,534
Morningside,135,0.295413,59,100,28,0.402339,2776,2423
West Hill,136,0.490647,225,439,134,0.435829,4551,4448
Woburn,137,0.214933,333,1020,210,0.41448,14374,6647
Eglinton East,138,0.268571,130,313,153,0.39983,2440,4405
Scarborough Village,139,0.350667,127,220,220,0.432119,1926,3981
Guildwood,140,41,66,145,0.34834,792,300,
