Neighbourhood,Neighbourhood Id,Arsons,Assaults,Break & Enters,Drug Arrests,Fire Medical Calls,Fire Vehicle Incidents,Fires & Fire Alarms,Hazardous Incidents,Murders,Robberies,Sexual Assaults,Thefts,Total Major Crime Incidents,Vehicle Thefts
West Humber-Clairville,1,4,390,175,62,1321,502,705,210,0,82,68,54,1119,288
Mount Olive-Silverstone-Jamestown,2,3,316,61,90,1016,59,361,176,1,78,75,7,690,62
Thistletown-Beaumond Heights,3,0,85,36,16,323,48,90,34,0,17,24,2,192,12
Rexdale-Kipling,4,0,59,32,15,305,34,94,55,1,16,20,3,164,18
Elms-Old Rexdale,5,1,77,25,14,321,71,107,43,0,23,5,19,185,22
Kingsview Village-The Westway,6,0,134,59,47,680,186,244,117,1,32,22,8,351,48
Willowridge-Martingrove-Richview,7,2,131,66,18,640,78,228,111,0,48,22,8,342,49
Humber Heights-Westmount,8,1,41,28,12,512,37,165,64,0,15,1,1,106,8
Edenbridge-Humber Valley,9,1,57,75,4,317,25,113,73,0,18,5,5,185,21
Princess-Rosethorn,10,0,48,50,16,214,22,76,54,0,17,1,9,157,16
Eringate-Centennial-West Deane,11,0,58,63,9,522,141,142,81,0,35,9,5,204,25
Markland Wood,12,0,42,24,10,251,50,71,26,0,20,3,0,113,14
Etobicoke West Mall,13,0,73,26,11,290,60,72,46,1,15,6,4,151,15
Islington-City Centre West,14,3,268,207,71,1616,374,625,249,1,58,37,23,853,188
Kingsway South,15,0,37,29,6,251,18,112,54,0,30,1,2,120,15
Stonegate-Queensway,16,1,131,86,19,729,81,167,135,0,21,10,9,326,50
Mimico,17,0,201,139,52,914,156,378,172,0,16,14,9,466,35
New Toronto,18,0,137,69,42,543,45,223,83,0,37,8,0,321,28
Long Branch,19,0,78,41,13,327,22,103,56,0,12,21,2,184,17
Alderwood,20,0,49,77,13,331,66,110,54,0,12,15,4,189,19
Humber Summit,21,0,98,76,11,566,117,208,73,1,30,8,6,289,59
Humbermede,22,2,131,58,35,329,98,74,49,0,40,34,2,345,45
Pelmo Park-Humberlea,23,1,63,37,43,347,186,115,42,0,39,5,6,222,29
Black Creek,24,2,242,75,90,786,99,263,169,1,65,36,4,572,59
Glenfield-Jane Heights,25,3,299,84,117,911,98,362,197,1,120,72,4,734,37
Downsview-Roding-CFB,26,5,402,187,126,1262,365,441,233,3,77,50,8,981,128
York University Heights,27,2,282,150,56,1007,143,798,186,2,99,49,16,776,122
Rustic,28,0,86,43,25,380,83,181,92,1,41,14,5,233,18
Maple Leaf,29,0,37,29,9,303,72,85,29,0,19,10,0,117,13
Brookhaven-Amesbury,30,3,143,58,33,457,31,178,86,0,32,52,6,371,47
Yorkdale-Glen Park,31,1,181,67,60,812,174,286,128,0,81,11,14,551,137
Englemount-Lawrence,32,2,147,82,17,669,69,246,140,0,79,19,5,376,27
Clanton Park,33,1,121,60,15,353,95,148,97,1,30,12,10,291,42
Bathurst Manor,34,2,56,58,9,675,89,167,108,0,9,8,5,170,25
Westminster-Branson,35,0,128,98,23,659,18,169,71,0,27,14,7,323,26
Newtonbrook West,36,0,140,127,19,631,48,147,108,0,45,17,8,392,36
